time_ms,closed_loop_angle,control_angle,angle_difference,closed_loop_velocity,control_velocity,velocity_difference,closed_loop_neural_offset,control_observed_neural_offset
328,1.1122468709945679,-0.019551891833543777,1.1317987628281116,0.4252319931983948,-0.14753130078315735,0.5727632939815521,0.004258597546705517,0.19920621591263
329,1.1127911806106567,-0.019824879243969917,1.1326160598546267,0.39881089329719543,-0.15390212833881378,0.5527130216360092,0.0041530219115732125,0.19714162538205524
330,1.1132965087890625,-0.020070195198059082,1.1333667039871216,0.37252047657966614,-0.13106337189674377,0.5035838484764099,0.004050041996711218,0.1950478789993109
331,1.1137653589248657,-0.02032759226858616,1.1340929511934519,0.34693706035614014,-0.15305443108081818,0.4999914914369583,0.003949595047955917,0.19292665216018642
332,1.1141999959945679,-0.02059435285627842,1.1347943488508463,0.32655200362205505,-0.14934740960597992,0.475899413228035,0.0038516197756578163,0.1907796438515377
333,1.1146020889282227,-0.02081897482275963,1.1354210637509823,0.2973964214324951,-0.14331278204917908,0.4407092034816742,0.003756056323128698,0.18860857139289722
334,1.114973545074463,-0.02107737772166729,1.1360509227961302,0.2795046865940094,-0.13339975476264954,0.41290444135665894,0.0036628462356341762,0.18641516532111413
335,1.1153181791305542,-0.02133045345544815,1.1366486325860023,0.26016566157341003,-0.12271670997142792,0.38288237154483795,0.003571932429929897,0.18420116443610113
336,1.1156333684921265,-0.021580800414085388,1.1372141689062119,0.23840613663196564,-0.14787708222866058,0.3862832188606262,0.003483259164338809,0.18196831102356176
337,1.116455078125,-0.021843070164322853,1.1382981482893229,0.5045458674430847,-0.14678210020065308,0.6513279676437378,0.003396772009366028,0.17971834626841915
338,1.1171804666519165,-0.022069968283176422,1.139250434935093,0.49755871295928955,-0.13416717946529388,0.6317258924245834,0.003312417818848473,0.17745300587057994
339,1.1178170442581177,-0.022375132888555527,1.1401921771466732,0.4197814464569092,-0.12640993297100067,0.5461913794279099,0.0032301447016348794,0.1751740158726534
340,1.1183420419692993,-0.022629396989941597,1.140971438959241,0.33686304092407227,-0.11324038356542587,0.45010342448949814,0.0031499019937923922,0.17288308870732608
