step,t_sim,CI,phi,broadcast,self,complexity,mode
840,83.9000,0.4673,0.2781,0.6128,0.0000,1.0000,flight
845,84.4000,0.4747,0.3030,0.6128,0.0000,1.0000,flight
850,84.9000,0.4667,0.2766,0.6126,0.0000,0.9997,flight
855,85.4000,0.4781,0.3145,0.6127,0.0000,0.9997,flight
860,85.9000,0.4734,0.2986,0.6128,0.0000,0.9997,walking
865,86.4000,0.4864,0.2567,0.6129,0.1280,0.9997,walking
870,86.9000,0.4792,0.2438,0.6131,0.1111,0.9997,walking
875,87.4000,0.4561,0.2213,0.6132,0.0293,0.9997,walking
880,87.9000,0.4538,0.2333,0.6129,0.0000,0.9997,walking
885,88.4000,0.4447,0.2030,0.6128,0.0000,0.9997,walking
890,88.9000,0.4471,0.2108,0.6131,0.0000,0.9997,walking
